,0
0,18.4
1,48.6
2,49.2
3,51.0
4,50.4
5,83.8
6,53.2
7,32.6
8,39.0
9,32.8
10,39.0
11,63.6
12,46.8
13,42.0
14,38.0
15,55.0
16,48.4
17,39.4
18,56.4
19,34.6
20,28.0
21,48.6
22,56.8
23,46.0
24,56.8
25,42.4
26,53.2
27,39.2
28,60.0
29,36.4
30,52.2
31,58.6
32,49.6
33,57.6
34,53.2
35,28.6
36,46.0
37,25.0
38,33.0
39,65.6
40,54.8
41,54.6
42,56.0
43,39.2
44,51.8
45,27.6
46,50.4
47,53.4
48,51.8
49,73.8
50,36.4
51,36.4
52,77.6
53,47.0
54,36.4
55,34.2
56,46.6
57,39.6
58,34.2
59,51.0
60,41.0
61,42.6
62,57.0
63,73.0
64,62.6
65,67.0
66,42.0
67,54.0
68,61.0
69,52.4
70,37.8
71,45.4
72,36.8
73,53.4
74,45.4
75,46.0
76,51.8
77,44.2
78,25.8
79,67.4
80,40.0
81,54.8
82,71.4
83,48.0
84,30.8
85,41.4
86,43.2
87,38.0
88,41.6
89,43.2
90,71.0
91,41.6
92,54.2
93,56.0
94,72.6
95,52.4
96,39.4
97,45.4
98,34.6
99,47.6
